Domain,Base Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,HSTS Preloaded,Broken Root,Broken WWW
ft.com,ft.com,http://www.ft.com,True,False,,True,False,True,False,False,False,False,,,False,False,False,False,False
vice.com,vice.com,http://www.vice.com,True,False,,True,False,True,False,False,False,False,max-age=0; includeSubDomains,0,False,False,False,False,False
salon.com,salon.com,http://www.salon.com,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
cbc.ca,cbc.ca,http://www.cbc.ca,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
usatoday.com,usatoday.com,http://www.usatoday.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
mashable.com,mashable.com,http://mashable.com,True,False,,False,False,True,False,False,True,False,,,False,False,False,False,False
washingtonpost.com,washingtonpost.com,https://www.washingtonpost.com,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
bostonglobe.com,bostonglobe.com,http://www.bostonglobe.com,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
slate.com,slate.com,http://www.slate.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
daliymail.co.uk,co.uk,http://www.daliymail.co.uk,True,True,http://www.cycleshelter.co.uk/,False,False,False,False,False,False,False,,,False,False,False,False,False
kansascity.com,kansascity.com,http://www.kansascity.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
mercurynews.com,mercurynews.com,http://www.mercurynews.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
freep.com,freep.com,http://www.freep.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
